分层,表名,表注释,字段名,字段类型,字段注释,码值,关联表,主键
DM,v_customer_summary,客户交易汇总视图（DM层-零售银行）,account_id,VARCHAR(36),客户账号唯一标识,,,true
DM,v_customer_summary,客户交易汇总视图（DM层-零售银行）,primary_country,VARCHAR(2),主要交易国家ISO代码,US=美国; CN=中国; GB=英国; JP=日本; DE=德国; SG=新加坡,,
DM,v_customer_summary,客户交易汇总视图（DM层-零售银行）,city,VARCHAR(50),主要交易城市,,,
DM,v_customer_summary,客户交易汇总视图（DM层-零售银行）,preferred_channel,VARCHAR(20),偏好交易渠道,card_present=POS刷卡; atm=ATM; mobile=手机银行; wire=电汇; branch=柜面,,
DM,v_customer_summary,客户交易汇总视图（DM层-零售银行）,country_count,INTEGER,涉及国家数量,,,
DM,v_customer_summary,客户交易汇总视图（DM层-零售银行）,total_txn_count,INTEGER,总交易笔数,,,
DM,v_customer_summary,客户交易汇总视图（DM层-零售银行）,total_amount,"DECIMAL(20,4)",总交易金额,,,
DM,v_customer_summary,客户交易汇总视图（DM层-零售银行）,avg_amount,"DECIMAL(20,4)",平均单笔金额,,,
DM,v_customer_summary,客户交易汇总视图（DM层-零售银行）,suspicious_count,INTEGER,可疑交易笔数,,,
DM,v_customer_summary,客户交易汇总视图（DM层-零售银行）,customer_level,VARCHAR(10),客户等级,VIP=高净值客户; STANDARD=普通客户; DORMANT=休眠客户,,
DM,v_channel_daily_summary,渠道每日汇总视图（DM层-运营分析）,channel_code,VARCHAR(20),渠道代码,card_present=POS刷卡; card_not_present=线上无卡; atm=ATM; wire=电汇; mobile=手机银行; branch=柜面,,true
DM,v_channel_daily_summary,渠道每日汇总视图（DM层-运营分析）,date_id,VARCHAR(10),交易日期,,,true
DM,v_channel_daily_summary,渠道每日汇总视图（DM层-运营分析）,txn_count,INTEGER,交易笔数,,,
DM,v_channel_daily_summary,渠道每日汇总视图（DM层-运营分析）,total_amount,"DECIMAL(20,4)",交易总额,,,
DM,v_channel_daily_summary,渠道每日汇总视图（DM层-运营分析）,unique_customers,INTEGER,交易客户数,,,
DM,v_channel_daily_summary,渠道每日汇总视图（DM层-运营分析）,suspicious_count,INTEGER,可疑交易数,,,
DM,v_suspicious_transactions,可疑交易明细视图（DM层-反洗钱AML）,transaction_id,VARCHAR(36),交易唯一标识,,,true
DM,v_suspicious_transactions,可疑交易明细视图（DM层-反洗钱AML）,account_id,VARCHAR(36),客户账号,,dim_account,
DM,v_suspicious_transactions,可疑交易明细视图（DM层-反洗钱AML）,date_id,VARCHAR(10),交易日期,,,
DM,v_suspicious_transactions,可疑交易明细视图（DM层-反洗钱AML）,amount,"DECIMAL(20,4)",交易金额,,,
DM,v_suspicious_transactions,可疑交易明细视图（DM层-反洗钱AML）,direction,VARCHAR(10),交易方向,inbound=入账; outbound=出账,,
DM,v_suspicious_transactions,可疑交易明细视图（DM层-反洗钱AML）,suspicion_reason,VARCHAR(30),可疑原因代码,structuring=拆分交易; rapid_movement=资金快速进出; high_risk_jurisdiction=高风险国家; velocity_spike=频率异常激增; shell_company=壳公司交易; round_amount=整数金额,,
DM,v_suspicious_transactions,可疑交易明细视图（DM层-反洗钱AML）,laundering_stage,VARCHAR(20),洗钱阶段,placement=处置阶段; layering=离析阶段; integration=融合阶段,,
DM,v_suspicious_transactions,可疑交易明细视图（DM层-反洗钱AML）,counterparty_name,VARCHAR(100),交易对手名称,,,
DM,v_suspicious_transactions,可疑交易明细视图（DM层-反洗钱AML）,location_country,VARCHAR(2),交易发生国家,,,
DWS,fact_transaction,交易事实表（DWS层-核心交易流水）,transaction_id,VARCHAR(36),交易唯一标识,,,true
DWS,fact_transaction,交易事实表（DWS层-核心交易流水）,account_id,VARCHAR(36),客户账号,,dim_account,
DWS,fact_transaction,交易事实表（DWS层-核心交易流水）,counterparty_id,VARCHAR(36),对手方ID,,dim_counterparty,
DWS,fact_transaction,交易事实表（DWS层-核心交易流水）,date_id,VARCHAR(10),交易日期,,dim_date,
DWS,fact_transaction,交易事实表（DWS层-核心交易流水）,channel_code,VARCHAR(20),渠道代码,,dim_channel,
DWS,fact_transaction,交易事实表（DWS层-核心交易流水）,type_code,VARCHAR(30),交易类型代码,,dim_transaction_type,
DWS,fact_transaction,交易事实表（DWS层-核心交易流水）,currency_code,VARCHAR(3),币种代码,,dim_currency,
DWS,fact_transaction,交易事实表（DWS层-核心交易流水）,amount,"DECIMAL(20,4)",交易金额,,,
DWS,fact_transaction,交易事实表（DWS层-核心交易流水）,direction,VARCHAR(10),交易方向,inbound=入账; outbound=出账,,
DWS,fact_transaction,交易事实表（DWS层-核心交易流水）,balance_before,"DECIMAL(20,4)",交易前余额,,,
DWS,fact_transaction,交易事实表（DWS层-核心交易流水）,balance_after,"DECIMAL(20,4)",交易后余额,,,
DWS,fact_transaction,交易事实表（DWS层-核心交易流水）,status,VARCHAR(15),交易状态,completed=已完成; pending=处理中; failed=失败,,
DWS,fact_transaction,交易事实表（DWS层-核心交易流水）,is_authorized,BOOLEAN,是否已授权,1=是; 0=否,,
DWS,fact_transaction,交易事实表（DWS层-核心交易流水）,is_suspicious,BOOLEAN,是否可疑交易,1=是; 0=否,,
DWS,fact_transaction,交易事实表（DWS层-核心交易流水）,suspicion_reason,VARCHAR(30),可疑原因代码,structuring=拆分交易; rapid_movement=资金快速进出; high_risk_jurisdiction=高风险国家; velocity_spike=频率异常,,
DWS,fact_transaction,交易事实表（DWS层-核心交易流水）,laundering_stage,VARCHAR(20),洗钱阶段,placement=处置; layering=离析; integration=融合,,
DWS,fact_transaction,交易事实表（DWS层-核心交易流水）,is_spoofed,BOOLEAN,是否伪造交易,1=是; 0=否,,
DWS,fact_transaction,交易事实表（DWS层-核心交易流水）,location_country,VARCHAR(2),交易发生国家ISO代码,,,
DWS,fact_transaction,交易事实表（DWS层-核心交易流水）,location_city,VARCHAR(50),交易发生城市,,,
DWS,fact_transaction,交易事实表（DWS层-核心交易流水）,mcc,VARCHAR(4),商户类别码,5411=商超; 5812=餐饮; 5999=其他零售,,
DWS,fact_transaction,交易事实表（DWS层-核心交易流水）,gl_cash_account,VARCHAR(20),GL现金科目编码,,,
DWS,fact_velocity,客户交易行为特征表（DWS层-AML特征工程）,account_id,VARCHAR(36),客户账号,,dim_account,true
DWS,fact_velocity,客户交易行为特征表（DWS层-AML特征工程）,txn_count_1h,INTEGER,近1小时交易笔数,,,
DWS,fact_velocity,客户交易行为特征表（DWS层-AML特征工程）,txn_count_24h,INTEGER,近24小时交易笔数,,,
DWS,fact_velocity,客户交易行为特征表（DWS层-AML特征工程）,txn_count_7d,INTEGER,近7天交易笔数,,,
DWS,fact_velocity,客户交易行为特征表（DWS层-AML特征工程）,txn_count_30d,INTEGER,近30天交易笔数,,,
DWS,fact_velocity,客户交易行为特征表（DWS层-AML特征工程）,amount_sum_24h,"DECIMAL(20,4)",近24小时交易总额,,,
DWS,fact_velocity,客户交易行为特征表（DWS层-AML特征工程）,amount_sum_7d,"DECIMAL(20,4)",近7天交易总额,,,
DWS,fact_velocity,客户交易行为特征表（DWS层-AML特征工程）,amount_sum_30d,"DECIMAL(20,4)",近30天交易总额,,,
DWS,fact_velocity,客户交易行为特征表（DWS层-AML特征工程）,amount_max_24h,"DECIMAL(20,4)",近24小时最大单笔金额,,,
DWS,fact_velocity,客户交易行为特征表（DWS层-AML特征工程）,unique_counterparties_24h,INTEGER,近24小时对手方数,,,
DWS,fact_velocity,客户交易行为特征表（DWS层-AML特征工程）,unique_counterparties_7d,INTEGER,近7天对手方数,,,
DWS,fact_velocity,客户交易行为特征表（DWS层-AML特征工程）,unique_countries_7d,INTEGER,近7天涉及国家数,,,
ODS,dim_account,客户账户维表（ODS层-核心）,account_id,VARCHAR(36),客户账号唯一标识,,,true
ODS,dim_account,客户账户维表（ODS层-核心）,primary_country,VARCHAR(2),主要交易国家,US=美国; CN=中国; GB=英国; JP=日本,,
ODS,dim_account,客户账户维表（ODS层-核心）,city,VARCHAR(50),主要交易城市,,,
ODS,dim_account,客户账户维表（ODS层-核心）,country_count,INTEGER,涉及国家数量,,,
ODS,dim_account,客户账户维表（ODS层-核心）,preferred_channel,VARCHAR(20),偏好交易渠道,card_present=POS刷卡; atm=ATM; mobile=手机银行,,
ODS,dim_counterparty,交易对手维表（ODS层）,counterparty_id,VARCHAR(36),对手方唯一标识,,,true
ODS,dim_counterparty,交易对手维表（ODS层）,counterparty_name,VARCHAR(100),对手方名称,,,
ODS,dim_counterparty,交易对手维表（ODS层）,counterparty_type,VARCHAR(20),对手方类型,merchant=商户; individual=个人; bank=银行; internal=行内,,
ODS,dim_counterparty,交易对手维表（ODS层）,country,VARCHAR(2),注册国家,,,
ODS,dim_channel,交易渠道维表（ODS层）,channel_code,VARCHAR(20),渠道代码,,,true
ODS,dim_channel,交易渠道维表（ODS层）,channel_name,VARCHAR(20),渠道中文名,,,
ODS,dim_channel,交易渠道维表（ODS层）,channel_category,VARCHAR(10),渠道大类,线上=线上渠道; 线下=线下渠道,,
ODS,dim_date,日期维表（ODS层）,date_id,VARCHAR(10),日期,,,true
ODS,dim_date,日期维表（ODS层）,year,INTEGER,年,,,
ODS,dim_date,日期维表（ODS层）,month,INTEGER,月,,,
ODS,dim_date,日期维表（ODS层）,quarter,INTEGER,季度,,,
ODS,dim_currency,币种维表（ODS层）,currency_code,VARCHAR(3),币种ISO代码,USD=美元; EUR=欧元; CNY=人民币; JPY=日元,,true
ODS,dim_currency,币种维表（ODS层）,currency_name,VARCHAR(10),币种中文名称,,,
